Country,City,Latitude,Longitude,Belt,Date,Max Temp,Wind Speed,Cloudiness,Humidity,Lon,Lat
cz,stramberk,49.590958,18.117846,"(40, 50]",1584020529,17.0,8.2,93,45,18.12,49.59
us,northbrook,42.1275,-87.82888890000001,"(40, 50]",1584020531,5.0,4.1,1,86,-87.83,42.13
fr,manosque,43.832871000000004,5.7839480000000005,"(40, 50]",1584020532,22.0,2.1,100,68,5.78,43.83
ca,georgetown,43.65,-79.93333299999999,"(40, 50]",1584020533,2.22,5.7,75,80,-79.93,43.65
hu,pecs,46.075363,18.232845,"(40, 50]",1584020534,20.0,3.6,85,37,18.23,46.08
ch,herisau,47.386276,9.280778999999999,"(40, 50]",1584020536,15.56,1.0,75,76,9.28,47.39
at,grodig,47.733333,13.033333,"(40, 50]",1584020537,19.0,4.6,20,45,13.03,47.73
us,piqua,40.144722200000004,-84.2425,"(40, 50]",1584020538,8.33,4.1,90,100,-84.24,40.14
ua,khorostkiv,49.211141,25.921648,"(40, 50]",1584020540,15.04,6.14,57,56,25.92,49.21
ru,poronaysk,49.216667,143.116667,"(40, 50]",1584020541,-8.12,3.41,6,87,143.12,49.22
rs,josanicka banja,43.389167,20.752222,"(40, 50]",1584020542,23.0,4.6,0,35,20.75,43.39
us,detroit,42.33138889999999,-83.0458333,"(40, 50]",1584020439,5.0,2.1,90,93,-83.05,42.33
de,beckingen,49.4,6.7,"(40, 50]",1584020545,11.67,9.3,75,81,6.7,49.4
es,alcobendas,40.543933,-3.6356879999999996,"(40, 50]",1584020546,24.44,1.0,100,40,-3.64,40.54
ro,tatarastii de sus,44.416667,25.116667,"(40, 50]",1584020547,17.78,2.92,0,56,25.12,44.42
ro,buces,46.183333000000005,22.933332999999998,"(40, 50]",1584020549,16.72,0.73,0,56,22.93,46.18
gr,patris,40.561111100000005,22.1861111,"(40, 50]",1584020550,20.56,1.5,20,42,22.19,40.56
ua,berezhany,49.442315,24.932315,"(40, 50]",1584020551,18.0,10.0,55,39,24.93,49.44
us,tenafly,40.925277799999996,-73.9633333,"(40, 50]",1584020553,8.0,2.6,75,75,-73.96,40.93
tr,yenisehir,40.264444,29.653056,"(40, 50]",1584020554,19.0,4.6,0,45,29.65,40.26
it,albino,45.766667,9.783333,"(40, 50]",1584020555,15.56,4.6,75,71,9.78,45.77
it,vercelli,45.316666999999995,8.416667,"(40, 50]",1584020556,16.67,1.0,75,82,8.42,45.32
it,morbegno,46.133333,9.566667,"(40, 50]",1584020558,15.0,7.2,79,46,9.57,46.13
ba,doboj,44.7347222,18.0877778,"(40, 50]",1584020559,25.0,2.1,35,27,18.09,44.73
ch,oberriet,47.319883000000004,9.566079,"(40, 50]",1584020560,15.56,1.0,75,76,9.57,47.32
it,ronchi dei legionari,45.823611,13.509722,"(40, 50]",1584020562,17.78,3.1,98,59,13.51,45.82
it,terlizzi,41.133333,16.533333,"(40, 50]",1584020563,24.44,5.7,0,63,16.53,41.13
ca,penticton,49.5,-119.58333300000001,"(40, 50]",1584020564,-1.0,1.02,40,86,-119.58,49.5
hu,ujhartyan,47.219808,19.386378,"(40, 50]",1584020566,22.22,6.2,0,42,19.39,47.22
us,commack,40.8427778,-73.2933333,"(40, 50]",1584020567,8.0,3.6,90,81,-73.29,40.84
ru,nalchik,43.498056,43.618889,"(40, 50]",1584020568,19.0,2.0,67,32,43.62,43.5
pt,vila frescainha,41.52779,-8.646102,"(40, 50]",1584020570,21.11,6.2,98,72,-8.65,41.53
us,oil city,41.4338889,-79.7066667,"(40, 50]",1584020571,6.67,2.1,90,93,-79.71,41.43
ro,dragesti,46.883333,22.133333,"(40, 50]",1584020572,20.0,8.7,0,49,22.13,46.88
ro,plosca,44.033333,25.133333,"(40, 50]",1584020574,18.17,1.89,0,51,25.13,44.03
ru,achikulak,44.551667,44.837778,"(40, 50]",1584020575,16.58,2.78,100,49,44.84,44.55
cz,senov,49.790917,18.375857999999997,"(40, 50]",1584020576,17.0,8.2,97,45,18.38,49.79
es,fene,43.45,-8.15,"(40, 50]",1584020577,13.33,4.6,75,87,-8.15,43.45
ca,saint-alexandre,47.683333000000005,-69.633333,"(40, 50]",1584020579,-5.65,0.95,55,90,-69.63,47.68
de,brackenheim,49.079722,9.065,"(40, 50]",1584020580,15.56,7.7,40,58,9.07,49.08
ro,magherani,46.566666999999995,24.9,"(40, 50]",1584020581,20.0,3.1,75,42,24.9,46.57
it,massa marittima,43.05,10.883333,"(40, 50]",1584020583,16.0,3.6,75,77,10.88,43.05
ua,kosiv,48.310708,25.095751999999997,"(40, 50]",1584020584,14.43,3.16,96,58,25.1,48.31
at,marchtrenk,48.183333000000005,14.116667000000001,"(40, 50]",1584020585,19.0,9.3,40,52,14.12,48.18
ch,trimbach,47.365605,7.8867970000000005,"(40, 50]",1584020586,18.0,5.1,75,67,7.89,47.37
lu,tetange,49.4758333,6.0422222,"(40, 50]",1584020588,11.67,6.7,75,70,6.04,49.48
us,pullman,46.7313889,-117.1786111,"(40, 50]",1584020359,0.0,0.34,40,73,-117.18,46.73
ro,biled,45.886389,20.958889000000003,"(40, 50]",1584020590,22.22,6.7,0,40,20.96,45.89
us,la grange,41.805,-87.86916670000001,"(40, 50]",1584020339,5.0,4.6,1,100,-87.87,41.81
es,ripoll,42.20033,2.190467,"(40, 50]",1584020593,24.44,3.1,100,64,2.19,42.2
us,key biscayne,25.693333300000003,-80.16305559999999,"(20, 30]",1584020594,22.78,5.1,75,73,-80.16,25.69
in,kiraoli,27.15,77.783333,"(20, 30]",1584020596,23.18,1.94,10,26,77.78,27.15
in,falakata,26.520840999999997,89.205448,"(20, 30]",1584020597,26.64,1.09,17,37,89.21,26.52
np,rajbiraj,26.5333333,86.75,"(20, 30]",1584020598,26.46,2.11,0,37,86.75,26.53
in,chhatapur,26.216666999999998,87.016667,"(20, 30]",1584020599,27.64,2.62,0,36,87.02,26.22
in,guwahati,26.183332999999998,91.733333,"(20, 30]",1584020601,27.0,1.93,40,57,91.73,26.18
in,paliyad,22.25,71.56666700000001,"(20, 30]",1584020602,21.97,5.98,0,15,71.57,22.25
mx,san jose temascatio,20.683332999999998,-101.266667,"(20, 30]",1584020603,13.33,0.55,40,62,-101.27,20.68
us,dania beach,26.0519444,-80.1441667,"(20, 30]",1584020605,23.33,3.97,90,83,-80.14,26.05
in,akaltara,22.016667,82.43333299999999,"(20, 30]",1584020606,26.94,4.21,6,61,82.43,22.02
pk,garhi yasin,27.906895000000002,68.510961,"(20, 30]",1584020607,27.0,2.17,40,28,68.51,27.91
in,sanchi,23.483333,77.733333,"(20, 30]",1584020609,27.0,8.2,40,42,77.73,23.48
in,utran,21.233333,72.866667,"(20, 30]",1584020610,24.0,2.6,0,47,72.87,21.23
pk,hingorja,27.210882,68.415977,"(20, 30]",1584020611,27.0,4.0,40,28,68.42,27.21
mx,ecuandureo,20.166667,-102.18333299999999,"(20, 30]",1584020613,21.6,0.87,57,51,-102.18,20.17
us,lake magdalene,28.073888899999996,-82.4719444,"(20, 30]",1584020614,20.56,1.15,1,88,-82.47,28.07
in,kaman,27.65,77.266667,"(20, 30]",1584020510,23.51,3.48,62,28,77.27,27.65
mx,fernandez,21.95,-100.0,"(20, 30]",1584020617,19.98,0.55,78,71,-100.0,21.95
pk,shahdadkot,27.847709000000002,67.905497,"(20, 30]",1584020618,18.73,1.91,20,26,67.91,27.85
mx,progreso,20.25,-99.2,"(20, 30]",1584020619,17.67,1.44,8,43,-99.2,20.25
in,churachandpur,24.333333,93.666667,"(20, 30]",1584020620,18.18,0.53,0,55,93.67,24.33
cu,madruga,22.9113889,-81.85611109999999,"(20, 30]",1584020622,23.0,1.5,20,83,-81.86,22.91
cu,alacranes,22.7675,-81.5675,"(20, 30]",1584020623,18.0,1.0,20,100,-81.57,22.77
cu,calabazar de sagua,22.644722199999997,-79.89611109999998,"(20, 30]",1584020625,21.0,2.1,40,94,-79.9,22.64
in,maihar,24.266667,80.75,"(20, 30]",1584020626,27.39,1.67,18,31,80.75,24.27
us,lutz,28.1508333,-82.4616667,"(20, 30]",1584020618,20.56,1.15,1,88,-82.46,28.15
in,farakka,24.816667000000002,87.9,"(20, 30]",1584020628,27.55,0.86,0,36,87.9,24.82
in,rajsamand,25.066667000000002,73.883333,"(20, 30]",1584020630,25.0,4.1,0,27,73.88,25.07
in,maghar,26.757222,83.127778,"(20, 30]",1584020631,25.23,2.26,0,39,83.13,26.76
in,bedi,22.5,70.05,"(20, 30]",1584020632,22.56,8.29,0,58,70.05,22.5
mx,ures,29.433333,-110.4,"(20, 30]",1584020634,18.89,0.45,100,96,-110.4,29.43
in,mandla,22.6,80.383333,"(20, 30]",1584020635,23.81,2.41,44,60,80.38,22.6
in,faridabad,28.433333,77.31666700000001,"(20, 30]",1584020636,24.0,3.1,40,41,77.32,28.43
mx,san buenaventura,29.85,-107.483333,"(20, 30]",1584020638,15.09,2.63,100,66,-107.48,29.85
in,kota,24.45,83.133333,"(20, 30]",1584020639,27.32,2.32,28,44,83.13,24.45
in,rahatgarh,23.783333,78.366667,"(20, 30]",1584020640,24.91,2.65,4,31,78.37,23.78
in,khetia,21.666667,74.583333,"(20, 30]",1584020610,22.6,6.92,0,16,74.58,21.67
in,supaul,26.116667,86.6,"(20, 30]",1584020475,26.72,3.37,0,34,86.6,26.12
tw,tucheng,24.9833333,121.43333329999999,"(20, 30]",1584020644,21.11,2.6,75,83,121.43,24.98
mx,jalpan,21.233333,-99.483333,"(20, 30]",1584020645,21.57,0.26,21,53,-99.48,21.23
tw,ilan,24.7666667,121.75,"(20, 30]",1584020647,21.11,2.6,75,83,121.75,24.77
pk,adilpur,27.936974,69.318685,"(20, 30]",1584020648,27.0,1.6,40,28,69.32,27.94
pk,tando jam,25.427178,68.536192,"(20, 30]",1584020649,21.68,5.58,0,13,68.54,25.43
mx,nueva rosita,27.95,-101.216667,"(20, 30]",1584020651,21.2,2.81,69,75,-101.22,27.95
cn,wuxue,29.850578000000002,115.552504,"(20, 30]",1584020652,11.85,1.46,100,93,115.55,29.85
sa,safwah,26.649862,49.952228000000005,"(20, 30]",1584020653,27.0,6.7,50,26,49.95,26.65
us,oakland park,26.171944399999997,-80.1322222,"(20, 30]",1584020655,23.33,3.97,90,88,-80.13,26.17
in,tajpur,29.166666999999997,78.483333,"(20, 30]",1584020656,22.73,2.93,96,49,78.48,29.17
mx,marin,25.866667,-100.05,"(20, 30]",1584020657,19.0,3.12,40,82,-100.05,25.87
in,shahabad,28.566667,79.016667,"(20, 30]",1584020659,22.44,2.34,42,50,79.02,28.57
jp,konosu,36.05,139.51666699999998,"(30, 40]",1584020660,13.33,2.1,20,66,139.52,36.05
us,mountain home,36.3352778,-92.385,"(30, 40]",1584020661,14.44,3.1,90,100,-92.39,36.34
tm,buzmeyin,38.0516667,58.21,"(30, 40]",1584020663,22.0,5.1,20,21,58.21,38.05
us,lewisville,36.0969444,-80.4194444,"(30, 40]",1584020598,14.44,2.6,1,82,-80.42,36.1
us,clinton,36.103333299999996,-84.1319444,"(30, 40]",1584020402,13.89,0.56,90,82,-84.13,36.1
gr,sikion,37.9833333,22.7333333,"(30, 40]",1584020666,19.44,2.24,0,32,22.73,37.98
pt,almargem do bispo,38.844851,-9.273155000000001,"(30, 40]",1584020668,22.78,5.7,20,68,-9.27,38.84
us,fernley,39.60805560000001,-119.25083329999998,"(30, 40]",1584020185,3.33,2.29,1,64,-119.25,39.61
dz,timizart,36.8,4.2666667,"(30, 40]",1584020670,17.39,5.54,100,62,4.27,36.8
us,imperial beach,32.5838889,-117.1122222,"(30, 40]",1584020519,17.0,1.44,90,93,-117.11,32.58
us,cornelius,35.4866667,-80.86027779999999,"(30, 40]",1584020413,15.56,1.77,1,87,-80.86,35.49
gr,sperkhoyia,37.0666667,22.0666667,"(30, 40]",1584020674,19.0,4.1,0,42,22.07,37.07
us,la habra,33.9319444,-117.9452778,"(30, 40]",1584020675,15.0,1.38,1,81,-117.95,33.93
gr,kamateron,38.0666667,23.7,"(30, 40]",1584020677,20.0,5.1,20,37,23.7,38.07
cn,jinsha,32.089817,121.073546,"(30, 40]",1584020678,13.33,0.86,100,87,121.07,32.09
il,bet dagan,32.001389,34.830278,"(30, 40]",1584020679,25.0,8.2,99,47,34.83,32.0
gr,kolimvari,35.55,23.783333300000002,"(30, 40]",1584020681,17.22,3.6,40,77,23.78,35.55
in,chhachhrauli,30.25,77.366667,"(30, 40]",1584020682,20.38,4.02,52,57,77.37,30.25
us,coral hills,38.8702778,-76.92138890000001,"(30, 40]",1584020683,10.56,1.5,75,66,-76.92,38.87
us,gallup,35.5280556,-108.74194440000001,"(30, 40]",1584020625,7.0,1.16,90,87,-108.74,35.53
ly,tukrah,32.533333299999995,20.5666667,"(30, 40]",1584020686,14.91,10.5,0,72,20.57,32.53
pk,mustafabad,30.776217,73.698165,"(30, 40]",1584020687,12.32,4.96,97,82,73.7,30.78
gr,aiantion,37.9166667,23.466666699999998,"(30, 40]",1584020688,20.0,5.1,20,37,23.47,37.92
us,diamond bar,34.028611100000006,-117.80944440000002,"(30, 40]",1584020690,15.0,1.38,1,81,-117.81,34.03
it,castelvetrano,37.683333000000005,12.783333,"(30, 40]",1584020691,20.56,2.1,0,63,12.78,37.68
jp,shiroishi,38.003333000000005,140.618333,"(30, 40]",1584020692,3.33,1.25,0,62,140.62,38.0
us,roanoke rapids,36.461388899999996,-77.6544444,"(30, 40]",1584020694,12.0,2.6,90,100,-77.65,36.46
gr,tzermiadon,35.2036111,25.484722199999997,"(30, 40]",1584020695,18.33,7.7,40,67,25.48,35.2
cn,yuanping,38.715278000000005,112.7575,"(30, 40]",1584020696,3.23,1.75,76,45,112.76,38.72
us,sugar hill,34.1063889,-84.03361109999999,"(30, 40]",1584020698,17.22,1.5,90,100,-84.03,34.11
jp,itami,34.766667,135.416667,"(30, 40]",1584020699,11.0,4.6,55,62,135.42,34.77
gr,antissa,39.2333333,25.9833333,"(30, 40]",1584020700,18.0,6.7,0,48,25.98,39.23
us,sheffield,34.765,-87.6986111,"(30, 40]",1584020702,18.33,1.5,20,93,-87.7,34.77
jp,kurihashi,36.133333,139.7,"(30, 40]",1584020703,13.33,2.1,20,66,139.7,36.13
mx,camalu,30.85,-116.066667,"(30, 40]",1584020704,14.89,1.93,75,94,-116.07,30.85
us,huntsville,30.7233333,-95.5505556,"(30, 40]",1584020130,21.0,4.6,90,77,-95.55,30.72
us,blacklick estates,39.905,-82.8644444,"(30, 40]",1584020707,9.0,2.6,90,81,-82.86,39.91
il,dimona,31.066667,35.033333,"(30, 40]",1584020561,18.37,6.08,100,78,35.03,31.07
us,parlier,36.6116667,-119.52611110000001,"(30, 40]",1584020709,9.0,2.1,0,100,-119.53,36.61
us,marietta,33.9525,-84.55,"(30, 40]",1584020708,17.22,1.5,90,100,-84.55,33.95
us,maywood,33.9866667,-118.18444440000002,"(30, 40]",1584020712,15.0,1.38,1,81,-118.18,33.99
il,kefar yona,32.316691999999996,34.935072999999996,"(30, 40]",1584020713,26.0,8.2,100,47,34.94,32.32
ir,azar shahr,37.759,45.9783,"(30, 40]",1584020715,19.0,5.1,33,23,45.98,37.76
gr,kontokalion,39.6452778,19.8494444,"(30, 40]",1584020716,21.0,1.5,0,46,19.85,39.65
cn,ezhou,30.396071999999997,114.886546,"(30, 40]",1584020717,12.68,2.48,65,88,114.89,30.4
gr,mitilini,39.11,26.5547222,"(30, 40]",1584020719,20.0,6.7,0,48,26.55,39.11
it,cagliari,39.216667,9.116667,"(30, 40]",1584020720,20.0,3.6,60,72,9.12,39.22
us,west puente valley,34.0516667,-117.9675,"(30, 40]",1584020721,15.0,1.38,1,81,-117.97,34.05
us,hampton,37.0297222,-76.3455556,"(30, 40]",1584020723,15.0,3.1,1,82,-76.35,37.03
es,zafra,38.416667,-6.4166669999999995,"(30, 40]",1584020724,25.56,2.6,96,36,-6.42,38.42
in,allapalli,19.416667,80.06666700000001,"(10, 20]",1584020725,28.33,1.33,17,45,80.07,19.42
ph,bunga,10.7731,124.7847,"(10, 20]",1584020727,25.53,4.44,1,83,124.78,10.77
in,athni,16.733333,75.06666700000001,"(10, 20]",1584020728,25.27,6.54,35,51,75.07,16.73
ph,santa brigida,12.567832000000001,121.48901399999998,"(10, 20]",1584020729,26.3,4.19,11,73,121.49,12.57
in,narasingapuram,13.616667000000001,79.333333,"(10, 20]",1584020731,33.0,3.1,22,38,79.33,13.62
co,baranoa,10.794084,-74.9164,"(10, 20]",1584020732,26.0,2.1,0,88,-74.92,10.79
in,bhor,18.166667,73.85,"(10, 20]",1584020733,20.05,3.6,0,68,73.85,18.17
ph,guindapunan,11.302778,124.70583300000001,"(10, 20]",1584020735,23.12,3.45,19,89,124.71,11.3
mx,el limon,19.816667000000002,-104.18333299999999,"(10, 20]",1584020736,22.83,0.18,100,46,-104.18,19.82
ph,tanay,14.4968,121.2846,"(10, 20]",1584020737,29.0,2.6,20,66,121.28,14.5
mx,jiutepec,18.866667,-99.18333299999999,"(10, 20]",1584020738,17.0,1.41,40,55,-99.18,18.87
in,arsikere,13.313889000000001,76.256111,"(10, 20]",1584020740,28.92,2.67,66,36,76.26,13.31
in,goa velha,15.433333,73.866667,"(10, 20]",1584020741,22.8,2.04,0,77,73.87,15.43
ph,bunga,11.4838,124.5918,"(10, 20]",1584020742,23.12,3.45,19,89,124.59,11.48
jm,kingston,18.0,-76.8,"(10, 20]",1584020744,26.0,3.1,20,61,-76.8,18.0
vn,rach gia,10.016667,105.08333300000001,"(10, 20]",1584020745,28.0,3.6,0,78,105.08,10.02
hn,san luis de planes,14.983333300000002,-88.1333333,"(10, 20]",1584020746,26.11,3.1,40,88,-88.13,14.98
ph,gibgos,13.859000000000002,123.7675,"(10, 20]",1584020748,26.59,5.62,3,78,123.77,13.86
ph,san vicente,13.8203,122.22200000000001,"(10, 20]",1584020749,26.41,4.59,58,81,122.22,13.82
gt,san andres itzapa,14.62,-90.844167,"(10, 20]",1584020750,15.0,5.1,0,82,-90.84,14.62
mx,tlalancaleca,19.316667000000002,-98.5,"(10, 20]",1584020752,15.56,1.0,5,44,-98.5,19.32
ph,san francisco,13.7911,122.2876,"(10, 20]",1584020753,22.4,1.09,54,94,122.29,13.79
mx,san gabriel casa blanca,18.15,-97.133333,"(10, 20]",1584020754,18.83,0.46,26,64,-97.13,18.15
in,tekkalakota,15.533332999999999,76.883333,"(10, 20]",1584020755,28.26,1.39,27,32,76.88,15.53
gm,kerewan,13.489444400000002,-16.0911111,"(10, 20]",1584020757,41.3,4.91,0,4,-16.09,13.49
ph,nilombot,16.0052,120.4202,"(10, 20]",1584020758,23.72,1.94,0,76,120.42,16.01
